Loaded 14 MeshInput samples from docs/research/mnlm/poc/mesh_inputs
Phase A training on mps — 14 samples, 5000 steps
  step     0/5000  loss=1.9965  ce=1.9871  mse=0.0093  lr=1.00e-04  1s
  step   100/5000  loss=0.0013  ce=0.0000  mse=0.0013  lr=9.99e-05  24s
  step   200/5000  loss=0.0011  ce=0.0000  mse=0.0011  lr=9.96e-05  47s
  step   300/5000  loss=0.0010  ce=0.0000  mse=0.0010  lr=9.92e-05  69s
  step   400/5000  loss=0.0008  ce=0.0000  mse=0.0008  lr=9.86e-05  92s
  step   500/5000  loss=0.0008  ce=0.0000  mse=0.0008  lr=9.78e-05  115s
  step   600/5000  loss=0.0006  ce=0.0000  mse=0.0006  lr=9.68e-05  137s
  step   700/5000  loss=0.0003  ce=0.0000  mse=0.0003  lr=9.57e-05  159s
  step   800/5000  loss=0.0005  ce=0.0000  mse=0.0005  lr=9.44e-05  180s
  step   900/5000  loss=0.0003  ce=0.0000  mse=0.0002  lr=9.30e-05  199s
  step  1000/5000  loss=0.0002  ce=0.0000  mse=0.0002  lr=9.14e-05  221s
  step  1100/5000  loss=0.0006  ce=0.0000  mse=0.0006  lr=8.97e-05  240s
  step  1200/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=8.78e-05  260s
  step  1300/5000  loss=0.0001  ce=0.0000  mse=0.0000  lr=8.58e-05  280s
  step  1400/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=8.37e-05  301s
  step  1500/5000  loss=0.0002  ce=0.0000  mse=0.0002  lr=8.15e-05  322s
  step  1600/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=7.91e-05  343s
  step  1700/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=7.67e-05  365s
  step  1800/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=7.42e-05  384s
  step  1900/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=7.16e-05  407s
  step  2000/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=6.89e-05  426s
  step  2100/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=6.62e-05  448s
  step  2200/5000  loss=0.0002  ce=0.0000  mse=0.0002  lr=6.34e-05  468s
  step  2300/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=6.06e-05  488s
  step  2400/5000  loss=0.0003  ce=0.0000  mse=0.0003  lr=5.78e-05  508s
  step  2500/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=5.50e-05  529s
  step  2600/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=5.22e-05  549s
  step  2700/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=4.94e-05  572s
  step  2800/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=4.66e-05  590s
  step  2900/5000  loss=0.0002  ce=0.0000  mse=0.0002  lr=4.38e-05  612s
  step  3000/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=4.11e-05  633s
  step  3100/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=3.84e-05  652s
  step  3200/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=3.58e-05  674s
  step  3300/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=3.33e-05  694s
  step  3400/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=3.09e-05  715s
  step  3500/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=2.85e-05  736s
  step  3600/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=2.63e-05  757s
  step  3700/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=2.42e-05  774s
  step  3800/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=2.22e-05  793s
  step  3900/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=2.03e-05  813s
  step  4000/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.86e-05  833s
  step  4100/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.70e-05  854s
  step  4200/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.56e-05  871s
  step  4300/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.43e-05  888s
  step  4400/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=1.32e-05  905s
  step  4500/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.22e-05  922s
  step  4600/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=1.14e-05  938s
  step  4700/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=1.08e-05  954s
  step  4800/5000  loss=0.0001  ce=0.0000  mse=0.0001  lr=1.04e-05  969s
  step  4900/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.01e-05  986s
  step  4999/5000  loss=0.0000  ce=0.0000  mse=0.0000  lr=1.00e-05  1002s

Summary:
  Start loss: 1.9965
  End loss:   0.0001
  Delta:      -1.9964
  Monotonic:  YES
